,text,bounding_all,left_up_x,left_up_y,left_bot_x,left_bot_y,right_up_x,right_up_y,right_bot_x,right_bot_y,height_left,height_right
0,Salads,"[(160, 9), (239, 11), (238, 39), (159, 37)]",160,9,239,11,238,39,159,37,79,79
1,ICEBERG,"[(8, 70), (71, 70), (71, 80), (8, 80)]",8,70,71,70,71,80,8,80,63,63
2,WEDGE,"[(76, 70), (131, 70), (131, 80), (76, 80)]",76,70,131,70,131,80,76,80,55,55
3,avocado,"[(7, 81), (48, 81), (48, 96), (7, 96)]",7,81,48,81,48,96,7,96,41,41
4,",","[(48, 81), (50, 81), (50, 95), (48, 95)]",48,81,50,81,50,95,48,95,2,2
5,chopped,"[(56, 81), (98, 81), (98, 95), (56, 95)]",56,81,98,81,98,95,56,95,42,42
6,egg,"[(102, 81), (118, 81), (118, 95), (102, 95)]",102,81,118,81,118,95,102,95,16,16
7,",","[(119, 81), (121, 81), (121, 95), (119, 95)]",119,81,121,81,121,95,119,95,2,2
8,grape,"[(126, 81), (154, 81), (154, 95), (126, 95)]",126,81,154,81,154,95,126,95,28,28
9,tomato,"[(159, 81), (193, 81), (193, 95), (159, 95)]",159,81,193,81,193,95,159,95,34,34
10,",","[(195, 81), (197, 81), (197, 95), (195, 95)]",195,81,197,81,197,95,195,95,2,2
11,creamy,"[(203, 81), (239, 81), (239, 95), (203, 95)]",203,81,239,81,239,95,203,95,36,36
12,bleu,"[(243, 80), (264, 80), (264, 94), (243, 94)]",243,80,264,80,264,94,243,94,21,21
13,cheese,"[(269, 80), (300, 80), (300, 94), (269, 94)]",269,80,300,80,300,94,269,94,31,31
14,",","[(300, 80), (303, 80), (303, 94), (300, 94)]",300,80,303,80,303,94,300,94,3,3
15,bacon,"[(7, 98), (36, 98), (36, 110), (7, 110)]",7,98,36,98,36,110,7,110,29,29
16,vinaigrette,"[(41, 98), (95, 98), (95, 110), (41, 110)]",41,98,95,98,95,110,41,110,54,54
17,....,"[(91, 98), (109, 98), (109, 110), (91, 110)]",91,98,109,98,109,110,91,110,18,18
18,15,"[(363, 97), (375, 98), (374, 108), (362, 107)]",363,97,375,98,374,108,362,107,12,12
19,ORGANIC,"[(8, 126), (75, 126), (75, 137), (8, 137)]",8,126,75,126,75,137,8,137,67,67
20,BABY,"[(82, 126), (121, 126), (121, 137), (82, 137)]",82,126,121,126,121,137,82,137,39,39
21,KALE,"[(126, 126), (164, 126), (164, 137), (126, 137)]",126,126,164,126,164,137,126,137,38,38
22,roasted,"[(7, 140), (45, 140), (45, 154), (7, 154)]",7,140,45,140,45,154,7,154,38,38
23,coriander,"[(49, 140), (99, 140), (99, 154), (49, 154)]",49,140,99,140,99,154,49,154,50,50
24,spring,"[(101, 140), (134, 140), (134, 154), (101, 154)]",101,140,134,140,134,154,101,154,33,33
25,carrots,"[(139, 140), (173, 140), (173, 154), (139, 154)]",139,140,173,140,173,154,139,154,34,34
26,",","[(175, 140), (177, 140), (177, 154), (175, 154)]",175,140,177,140,177,154,175,154,2,2
27,fennel,"[(182, 140), (214, 140), (214, 154), (182, 154)]",182,140,214,140,214,154,182,154,32,32
