,name
0, chevy with a white license plate
1,fukmeup
2, in the shade
3, florida bushwacker
4, belmont
5,k nightmare
6, wise men
7,mile long island iced tea
8, blue
9, special
10,  weeks
11,a day at the beach
12,a furlong too late
13,a gilligans island
14,a night in old mandalay
15,a piece of ass
16,a splash of nash
17,a true amaretto sour
18,a midsummernight dream
19,adm after dinner mint
20,acid
21,abbey cocktail
22,abbey martini
23,abilene
24,absinthe 
25,absolut evergreen
26,absolut sex
27,absolut stress 
28,absolut summertime
29,absolut limousine
30,absolutely cranberry smash
31,absolutely fabulous
32,absolutly screwed up
33,acapulco
34,adam
35,adam  eve
36,adam bomb
37,adam sunrise
38,addington
39,addison
40,addison special
41,adios amigos cocktail
42,adonis cocktail
43,affair
44,affinity
45,after dinner cocktail
46,after five
47,after supper cocktail
48,after sex
49,afterglow
50,afternoon
51,alabama slammer
52,alaska cocktail
53,alexander
54,alfie cocktail
55,algonquin
56,alice cocktail
57,alice in wonderland
58,allegheny
59,allies cocktail
60,almeria
61,almond chocolate coffee
62,almond joy
63,aloha fruit punch
64,amaretto and cream
65,amaretto liqueur
66,amaretto mist
67,amaretto rose
68,amaretto shake
69,amaretto sour
70,amaretto stinger
71,amaretto stone sour
72,amaretto stone sour 
73,amaretto sunrise
74,amaretto sunset
75,amaretto sweet  sour
76,amaretto tea
77,americano
78,angel face
79,angelica liqueur
80,apello
81,apple berry smoothie
82,apple cider punch 
83,apple grande
84,apple karate
85,apple pie with a crust
86,apple slammer
87,applecar
88,applejack
89,apricot lady
90,apricot punch
91,archbishop
92,arctic fish
93,arctic mouthwash
94,arise my love
95,arizona antifreeze
96,arizona stingers
97,arizona twister
98,army special
99,arthur tompkins
100,artillery
101,artillery punch
102,atlantic sun
103,atomic lokade
104,auburn headbanger
105,autodaf
106,avalanche
107,avalon
108,aviation
109,aztec punch
110,baby eskimo
111,baby guinness
112,bacardi cocktail
113,baileys dream shake
114,balmoral
115,banana cantaloupe smoothie
116,banana daiquiri
117,banana milk shake
118,banana strawberry shake
119,banana strawberry shake daiquiritype
120,barracuda
121,belgian blue
122,bellini
123,bellini martini
124,bermuda highball
125,berry deadly
126,between the sheets
127,bible belt
128,big red
129,black  tan
130,black forest shake
131,black russian
132,black and brown
133,blackthorn
134,bleeding surgeon
135,blind russian
136,bloody maria
137,bloody mary
138,blue lagoon
139,blue margarita
140,blue mountain
141,bluebird
142,bob marley
143,bobby burns cocktail
144,boomerang
145,boozy snickers milkshake
146,bora bora
147,boston sidecar
148,boston sour
149,bourbon sling
150,bourbon sour
151,boxcar
152,brain fart
153,brainteaser
154,bramble
155,brandon and wills coke float
156,brandy alexander
157,brandy cobbler
158,brandy flip
159,brandy sour
160,brave bull shooter
161,bruces puce
162,bruised heart
163,bubble gum
164,buccaneer
165,bumble bee 
166,butter baby
167,cafe savoy
168,caipirinha
169,caipirissima
170,california lemonade
171,california root beer
172,campari beer
173,caribbean boilermaker
174,caribbean orange liqueur
175,casino
176,casino royale
177,castillian hot chocolate
178,champagne cocktail
179,cherry electric lemonade
180,cherry rum
181,chicago fizz
182,chocolate beverage
183,chocolate black russian
184,chocolate drink
185,chocolate milk
186,chocolate monkey
187,citrus coke
188,city slicker
189,classic oldfashioned
190,clove cocktail
191,clover club
192,coffee liqueur
193,coffeevodka
194,coke and drops
195,cosmopolitan
196,cosmopolitan martini
197,cranberry cordial
198,cranberry punch
199,cream soda
200,creme de menthe
201,cuba libra
202,cuba libre
203,daiquiri
204,damned if you do
205,danbooka
206,dark caipirinha
207,dark and stormy
208,darkwood sling
209,derby
210,diesel
211,dirty martini
212,dirty nipple
213,downshift
214,dragonfly
215,drinking chocolate
216,dry rob roy
217,dubonnet cocktail
218,duchamps punch
219,egg cream
220,egg nog 
221,egg nog  healthy
222,eggnog  classic cooked
223,english highball
224,english rose cocktail
225,espresso martini
226,fahrenheit 
227,flaming dr pepper
228,flaming lamborghini
229,flanders flakeout
230,flying dutchman
231,flying scotchman
232,foxy lady
233,frapp
234,freddy kruger
235,french 
236,french connection
237,french martini
238,frisco sour
239,frozen daiquiri
240,frozen mint daiquiri
241,frozen pineapple daiquiri
242,fruit cooler
243,fruit flipflop
244,fruit shake
245,fuzzy asshole
246,gagliardo
247,gentlemans club
248,gideons green dinosaur
249,gin and tonic
250,gin cooler
251,gin daisy
252,gin fizz
253,gin rickey
254,gin sling
255,gin smash
256,gin sour
257,gin squirt
258,gin swizzle
259,gin toddy
260,girl from ipanema
261,gluehwein
262,godchild
263,godfather
264,godmother
265,golden dream
266,grand blue
267,grape lemon pineapple smoothie
268,grass skirt
269,grasshopper
270,green goblin
271,grim reaper
272,grizzly bear
273,happy skipper
274,harvey wallbanger
275,havana cocktail
276,hawaiian cocktail
277,hemingway special
278,herbal flame
279,highland fling cocktail
280,holloween punch
281,homemade kahlua
282,horses neck
283,hot chocolate to die for
284,hot creamy bush
285,ice pick 
286,iced coffee
287,iced coffee fillip
288,imperial cocktail
289,imperial fizz
290,ipamena
291,irish coffee
292,irish cream
293,irish curdling cow
294,irish russian
295,irish spring
296,jack rose cocktail
297,jacks vanilla coke
298,jackhammer
299,jam donut
300,jamaica kiss
301,jamaican coffee
302,japanese fizz
303,jello shots
304,jelly bean
305,jewel of the nile
306,jitterbug
307,john collins
308,just a moonmint
309,kamikaze
310,karsk
311,kentucky b and b
312,kentucky colonel
313,kill the cold smoothie
314,kioki coffee
315,kir royale
316,kiss me quick
317,kiwi lemon
318,kiwi papaya smoothie
319,kool first aid
320,koolaid shot
321,koolaid slammer
322,kurant tea
323,lady love fizz
324,lassi  a south indian drink
325,lassi  mango
326,lassi  sweet
327,lassi khara
328,lassi raita
329,lemon drop
330,lemon shot
331,lemouroudji
332,limeade
333,limona corona
334,loch lomond
335,london town
